Name,Position,Elevation,Categories
CMEG27,N34.01414¡ W119.79007¡,360 m,
DEND20,N34.01365¡ W119.78768¡,346 m,
PRUN30,N34.01347¡ W119.78654¡,329 m,
DEND21,N34.01346¡ W119.78656¡,329 m,
DEND19,N34.01345¡ W119.78783¡,347 m,
PRUN37,N34.01258¡ W119.68763¡,12 m,
PRUN36,N34.01203¡ W119.69549¡,17 m,
QPAC11,N34.00414¡ W120.09125¡,50 m,
HET22,N34.00394¡ W120.09126¡,61 m,
PRUN21,N34.00322¡ W120.09011¡,91 m,
PRUN20,N34.00321¡ W120.09118¡,80 m,
PRUN19,N34.00314¡ W120.09129¡,80 m,
CERC14,N34.00034¡ W119.74954¡,306 m,
CMEG22,N34.00031¡ W119.75159¡,340 m,
HET13,N33.99986¡ W120.05996¡,41 m,
HET26,N33.99891¡ W119.74661¡,281 m,
QPAC14,N33.99876¡ W119.75197¡,363 m,
PRUN18,N33.99826¡ W120.06140¡,43 m,
CERC24,N33.99820¡ W119.72432¡,71 m,
CMEG31,N33.99814¡ W119.72480¡,63 m,
CMEG30,N33.99810¡ W119.72492¡,68 m,
QPAC24,N33.99787¡ W119.72009¡,83 m,
PRUN34,N33.99786¡ W119.72018¡,85 m,
HET34,N33.99780¡ W119.72265¡,75 m,
PRUN11,N33.99775¡ W120.06105¡,47 m,
PRUN35,N33.99750¡ W119.71630¡,61 m,
HET12,N33.99730¡ W120.06054¡,41 m,
PRUN33,N33.99723¡ W119.72823¡,73 m,
PRUN32,N33.99701¡ W119.72848¡,73 m,
PRUN17,N33.99699¡ W120.06084¡,43 m,
HET11,N33.99689¡ W120.06084¡,52 m,
PRUN31,N33.99680¡ W119.72923¡,72 m,
QPAC15,N33.99667¡ W119.74121¡,248 m,
QPAC3,N33.99605¡ W120.05869¡,68 m,
QPAC2,N33.99594¡ W120.05835¡,71 m,
CERC23,N33.99586¡ W119.72990¡,110 m,
QPAC23,N33.99581¡ W119.73034¡,117 m,
CMEG29,N33.99577¡ W119.73071¡,123 m,
CMEG291,N33.99576¡ W119.73072¡,123 m,
PRUN25,N33.99560¡ W119.73788¡,234 m,
PRUN27,N33.99560¡ W119.73534¡,189 m,
DEND13,N33.99559¡ W119.73537¡,193 m,
CMEG24,N33.99552¡ W119.73449¡,186 m,
DEND14,N33.99547¡ W119.73509¡,191 m,
CMEG281,N33.99547¡ W119.73089¡,118 m,
QPAC16,N33.99545¡ W119.73432¡,188 m,
CMEG23,N33.99543¡ W119.73468¡,189 m,
DEND17,N33.99539¡ W119.73352¡,175 m,
DEND16,N33.99535¡ W119.73372¡,177 m,
PRUN13,N33.99531¡ W120.06051¡,51 m,
HET33,N33.99531¡ W119.73156¡,134 m,
PRUN12,N33.99529¡ W120.06065¡,62 m,
PRUN26,N33.99528¡ W119.73652¡,208 m,
HET27,N33.99525¡ W119.73548¡,183 m,
DEND15,N33.99525¡ W119.73380¡,179 m,
HET29,N33.99524¡ W119.73275¡,159 m,
CERC22,N33.99524¡ W119.73197¡,130 m,
PRUN28,N33.99523¡ W119.73288¡,164 m,
CERC17,N33.99523¡ W119.73236¡,155 m,
CERC15,N33.99522¡ W119.73289¡,164 m,
QPAC22,N33.99522¡ W119.73236¡,129 m,
DEND22,N33.99522¡ W119.73181¡,134 m,
PRUN14,N33.99521¡ W120.06046¡,52 m,
CERC16,N33.99521¡ W119.73273¡,159 m,
DEND23,N33.99521¡ W119.73174¡,136 m,
HET28,N33.99520¡ W119.73395¡,180 m,
DEND18,N33.99519¡ W119.73278¡,160 m,
CMEG28,N33.99519¡ W119.73215¡,130 m,
QPAC1,N33.99514¡ W120.06056¡,71 m,
PRUN15,N33.99496¡ W120.06037¡,72 m,
HET25,N33.99485¡ W119.74963¡,389 m,
CERC11,N33.99335¡ W119.71884¡,125 m,
CMEG20,N33.99311¡ W119.71893¡,133 m,
HET21,N33.99279¡ W120.04488¡,54 m,
HET23,N33.99243¡ W119.71833¡,163 m,
HET20,N33.99201¡ W120.04144¡,24 m,
QPAC13,N33.99103¡ W119.72831¡,260 m,
CMEG21,N33.99099¡ W119.71908¡,217 m,
