SITE ID,3055,2675,2998,3082,3016,3056,3043,3054,2751,2903,2909,2899,2983,3058,3057,2901,2897,3000,2935,3077,3053,3060,2975,3031,2833,2985,3049,3151,2949,2831,2986,3005,2924,2941,2920,3070,2799,3142,3143,3013,3020,3121,2898,3039,2830,2984,3093,2750,2749,2954,2957,3019,2841,3186,3087,3076,3065,3098,2754,3149,2882,2855,2977,2955,3014,3023,2912,3011,2988,2926,3160,2934,3089,2772,2980,3027,3029,3067,3061,2747,2883,3024,3033,3040,2995,3083,2763,2712,3140,2947,3205,3206,3037,3073,3066,3095,2755,2788,2699,3202,2834,2832,2923,3090,2765,2784,2709,3148,2857,2866,3030,3017,3032,3133,2800,2778,2744,3026,3041,3042,3051,2771,2760,3144,3196,2891,2881,3181,3028,2837,3167,3208,2731,2773,2701,2713,2890,3120,3118,3138,2770,2758,2700,3152,3150,2879,2978,3201,3119,3189,3188,2840,2756,2766,2676,2696,3193,2887,3153,3155,2733,3122,3185,3085,3086,2743,2752,2813,3216,3177,2737,2704,2708,2888,2875,2892,2893,2894,3197,3184,3022,3180,3025,3154,3157,2732
1990,7.313553665,-0.693147181,10.91509756,NA,5.300814247,10.1266511,NA,NA,10.30896933,8.987259319,NA,9.615838813,NA,NA,-0.693147181,8.699598078,9.210390371,9.10503541,NA,9.210390371,NA,NA,8.517293186,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.210390371,NA,10.46311763,NA,NA,NA,NA,NA,NA,-0.693147181,NA,NA,NA,NA,NA,-0.693147181,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147181,NA,NA,NA,NA,NA,4.610157727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.210390371,8.294174632,NA,NA,NA,NA,NA,NA,6.908255154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.210390371,NA,NA,NA,NA,NA,NA,NA,NA,6.215607599,NA,NA,8.550531251,NA,NA,NA,10.16587105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.824245991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.433523922,8.764131391,NA,NA,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.313553665,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.992713767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.921973336,NA,NA,NA,NA,NA,NA,NA,9.17993271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,8.517293186,NA,9.615838813,6.908255154,3.238678452,6.908255154,NA,NA,NA,NA,NA,NA,9.210390371,NA,4.610157727,9.210390371,7.824245991,NA,NA,6.908255154,NA,NA,0.405465108,NA,NA,-0.693147181,NA,8.517293186,-0.693147181,NA,NA,NA,NA,NA,NA,6.908255154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.908255154,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.215607599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.210390371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,7.601152428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405465108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,6.908255154,-0.693147181,NA,6.551794366,2.740840024,NA,-0.693147181,NA,NA,NA,1.704748092,-0.693147181,NA,0.405465108,3.921973336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.601152428,NA,NA,NA,NA,NA,NA,-0.693147181,-0.693147181,7.549872288,NA,NA,NA,NA,NA,-0.693147181,NA,NA,NA,NA,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.921973336,NA,NA,-0.693147181,NA,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147181,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.704748092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,10.81978828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147181,NA,3.238678452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.921973336,8.517293186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.215607599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.824245991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.908255154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147181,NA,NA,NA,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,8.517293186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,4.610157727,7.844044697,11.69525119,4.324132656,5.523458921,9.903512552,9.615838813,6.830334132,10.1266511,9.64862756,NA,9.392703595,11.15625766,10.81978828,NA,NA,7.649930691,11.15625766,10.71442888,NA,8.00653422,11.51293046,8.242887916,7.783432328,10.1266511,NA,10.46311763,8.517293186,NA,10.1266511,NA,NA,NA,NA,NA,NA,10.81978828,10.59664723,9.903512552,7.003519901,7.003519901,NA,NA,5.013963084,8.00653422,NA,NA,10.46311763,NA,7.601152428,5.859360706,5.523458921,8.517293186,NA,NA,NA,NA,NA,6.620739651,8.853736854,7.824245991,4.610157727,NA,8.00653422,5.013963084,8.987259319,NA,NA,NA,NA,NA,NA,NA,NA,8.160661094,5.300814247,6.110358077,NA,6.551794366,NA,8.779634376,5.013963084,3.701301974,6.551794366,NA,NA,NA,10.81978828,10.71442888,5.013963084,5.138735297,4.388257184,NA,10.1266511,NA,NA,NA,NA,10.14645334,9.210390371,6.551794366,NA,NA,NA,9.903512552,10.91509756,8.779634376,10.1266511,8.922724964,8.517293186,4.016383021,4.610157727,-0.693147181,6.087910445,8.987259319,NA,NA,4.610157727,NA,NA,NA,NA,NA,6.908255154,NA,6.620739651,5.300814247,NA,4.791649753,NA,NA,NA,NA,NA,9.740998034,11.00210817,5.013963084,7.178164023,7.601152428,8.735605568,NA,NA,NA,NA,NA,7.047951909,6.477741298,NA,NA,NA,NA,8.00653422,NA,NA,5.859360706,NA,NA,NA,7.601152428,7.438677604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.397762642,NA,NA,3.238678452,NA,NA,NA,NA,3.921973336,5.705447754,6.215607599,3.921973336,3.417726684,6.802950165,NA
1998,-0.693147181,-0.693147181,11.00210817,9.195277494,4.610157727,10.59664723,8.318864196,-0.693147181,9.903512552,8.294174632,7.378071359,8.99348948,8.987259319,7.601152428,NA,7.625838945,6.215607599,10.81978828,10.46311763,NA,8.294174632,11.65356094,7.313553665,5.859360706,9.903512552,7.090493416,8.853736854,10.30896933,5.013963084,8.517293186,6.099197247,0.916290732,NA,NA,NA,NA,9.10503541,9.392703595,4.610157727,5.300814247,5.992713767,NA,NA,4.705015521,4.448516376,1.704748092,NA,NA,NA,-0.693147181,2.140066163,5.249652195,NA,NA,NA,NA,NA,NA,5.300814247,8.517293186,6.215607599,8.411943781,6.685236532,-0.693147181,2.014903021,6.620739651,NA,NA,5.48272009,NA,NA,NA,NA,NA,7.313553665,3.417726684,3.921973336,NA,-0.693147181,NA,8.853736854,4.102643365,3.020424886,-0.693147181,1.871802177,NA,NA,7.313553665,8.699598078,4.791649753,1.704748092,1.704748092,NA,NA,NA,NA,NA,NA,8.999681067,1.704748092,6.215607599,7.313553665,NA,NA,NA,10.30896933,3.921973336,8.987259319,NA,8.294174632,2.740840024,-0.693147181,5.785362462,7.378071359,7.601152428,NA,NA,-0.693147181,NA,NA,NA,NA,NA,NA,NA,-0.693147181,5.705447754,5.167639043,2.140066163,NA,NA,NA,NA,0.916290732,8.881905747,3.921973336,4.25561271,NA,-0.693147181,NA,NA,NA,NA,NA,8.294174632,NA,4.388257184,NA,3.921973336,NA,NA,2.525728644,NA,NA,NA,8.00653422,NA,4.832305759,6.397762642,6.685236532,9.827712807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693147181,NA,5.523458921,4.610157727,4.102643365,5.705447754,6.685236532,NA,NA,-0.693147181,4.25561271,NA,2.014903021,4.610157727,9.440221177
1999,8.039318668,-0.693147181,9.615838813,8.987259319,2.862200881,8.575556435,7.313553665,4.610157727,10.1266511,8.00653422,5.300814247,7.313553665,8.411943781,6.908255154,NA,6.908255154,6.215607599,9.159099708,10.1266511,3.921973336,7.313553665,11.00210817,-0.693147181,2.351375257,7.601152428,6.43855133,7.824245991,8.00653422,0.405465108,4.90897164,7.601152428,3.314186005,NA,NA,NA,NA,9.472743097,8.49709252,7.495819683,-0.693147181,3.238678452,5.705447754,NA,-0.693147181,1.252762968,3.020424886,NA,7.696439886,7.630703951,3.020424886,2.014903021,3.238678452,6.908255154,NA,NA,NA,NA,NA,3.624340933,6.397762642,2.351375257,5.705447754,-0.693147181,-0.693147181,-0.693147181,0.405465108,NA,NA,5.636573725,NA,NA,NA,NA,NA,-0.693147181,-0.693147181,1.252762968,NA,-0.693147181,4.016383021,7.313553665,0.916290732,0.405465108,-0.693147181,1.871802177,NA,7.74088177,8.662245463,8.294174632,2.351375257,-0.693147181,-0.693147181,NA,NA,NA,NA,NA,6.273819958,8.258551988,2.351375257,5.349485653,NA,NA,NA,8.294174632,8.294174632,7.098788776,6.215607599,NA,5.300814247,-0.693147181,-0.693147181,-0.693147181,-0.693147181,6.685236532,NA,4.610157727,1.871802177,NA,NA,NA,NA,4.069026754,NA,2.351375257,NA,NA,NA,-0.693147181,8.517293186,NA,NA,6.215607599,3.921973336,5.523458921,NA,NA,-0.693147181,-0.693147181,-0.693147181,NA,NA,-0.693147181,2.740840024,8.987259319,NA,1.704748092,NA,-0.693147181,NA,NA,NA,NA,-0.693147181,NA,NA,NA,NA,4.610157727,3.921973336,NA,6.110358077,NA,NA,NA,7.265779312,NA,9.433523922,NA,NA,NA,NA,NA,NA,NA,0.916290732,NA,NA,NA,-0.693147181,NA,-0.693147181,-0.693147181,NA,NA,NA
