Sample,Tissue,Species,Mass
938.4B,Wing,ASFA,11.5
938.5B,Wing,ASFA,10.8
939.1B,Wing,ASFA,10.4
939.2B,Wing,ASFA,11.4
939.3B,Wing,ASFA,12.5
940.1X,Wing,ASFA,10.8
940.2X,Wing,ASFA,10.2
940.3X,Wing,ASFA,9.1
941.1B,Wing,ASFA,7.9
944.1B,Wing,ASFA,11
944.2B,Wing,ASFA,9.5
L104,Leaf,GOFR,7.35
L108,Leaf,GOFR,6.09
L145,Leaf,GOFR,6.853
L170,Leaf,ASCU,6.875
L175,Leaf,ASCU,6.585
L18,Leaf,GOPH,6.393
L188,Leaf,ASCU,6.698
L190,Leaf,ASCU,9.402
L199,Leaf,ASCU,6.282
L206,Leaf,ASCU,6.326
L215,Leaf,ASCU,6.11
L261,Leaf,ASYR,4.218
L270,Leaf,ASYR,8.299
L296,Leaf,ASFA,8.189
L301,Leaf,ASFA,5.939
L4,Leaf,GOPH,6.833
L59,Leaf,GOPH,5.992
L63,Leaf,GOPH,7.781
L65,Leaf,GOPH,7.905
L66,Leaf,GOPH,5.57
L70,Leaf,GOPH,7.695
L86,Leaf,GOFR,6.518
L95,Leaf,GOFR,5.649
L99,Leaf,GOFR,5.642
W101,Wing,GOPH,10.1
W107,Wing,GOPH,10.1
W108,Wing,GOPH,10.1
W109,Wing,GOPH,10.1
W114.2,Wing,GOPH,10.1
W115,Wing,GOPH,10.1
W117.3,Wing,GOPH,10.1
W117.4,Wing,GOPH,10.1
W12,Wing,GOPH,10.1
W121,Wing,GOPH,10.1
W134.2,Wing,GOPH,10.1
W134.3,Wing,GOPH,10.1
W138,Wing,GOPH,10.1
W14.2,Wing,GOPH,10.1
W145.2,Wing,GOPH,10.1
W150,Wing,ASCU,9.5
W155,Wing,ASCU,9.5
W158,Wing,ASCU,9.5
W160,Wing,ASCU,9.5
W163,Wing,ASCU,9.5
W170,Wing,ASCU,9.5
W172,Wing,ASCU,9.5
W175,Wing,ASCU,9.5
W179,Wing,ASCU,9.5
W182,Wing,ASCU,9.5
W184,Wing,ASCU,9.5
W187,Wing,ASCU,9.5
W192.2,Wing,ASCU,9.5
W196,Wing,ASCU,9.5
W197,Wing,ASCU,9.5
W198,Wing,ASCU,9.5
W200,Wing,ASCU,9.5
