Index,Site,wingmass,pk6,pk8,pk9,pk11,pk13,pk21,pk28,pk33,pk39,pk42,pk51,pk56,pk59,pk62,pk65,pk71,pk78,Total,sex
74,Rota,10,0.2596,0,0,0,0,0,0.2634,0,0,1.3572,0,0.4997,0,0,0.8252,0,0,3.2051,male
75,Rota,7.2,0,0,0.1247,0.3254,0,0,0.1966,0,0,1.6866,0,0.648,0,0,0.6998,0.0818,0,3.7629,male
76,Rota,7.3,0,0,0,0.4613,0,0,0.1771,0,0,1.6821,0,0.6469,0,0,0,0,0.08,3.0474,female
77,Rota,9.8,0,0,0,0.1178,0,0,0,0,0,0.7357,0,0.228,0,0,0.3183,0,0.0408,1.4406,female
78,Rota,8.1,0,0,0,0.1319,0,0,0,0,0,0.654,0,0.2858,0,0,0.2843,0,0,1.356,female
79,Rota,10.3,0.6906,0.1542,0,0.6701,0.0826,0,0.6837,0,0.2724,2.4252,0.1396,1.9312,0,0,1.514,0,0,8.5635,female
80,Rota,8.5,0,0,0,0.0754,0,0,0,0,0,0.5147,0,0.2488,0,0,0.2641,0,0,1.1029,female
81,Rota,6.1,0,0,0,0.3245,0,0,0.1384,0,0,1.6046,0,0.486,0,0,0.3781,0,0,2.9317,female
82,Rota,9.4,0.5859,0,0,0.8159,0,0,0.3801,0,0.1799,1.5304,0,0.7718,0,0,0.9328,0,0,5.1969,female
83,Rota,10.2,0,0,0,0,0,0,0.0726,0,0,0.5334,0,0.1977,0,0,0.354,0,0,1.1577,female
84,Rota,11,0,0,0.0742,0.3717,0.0801,0,0.2768,0,0,1.2291,0,0.6008,0,0,0.5243,0,0.0383,3.1953,female
