island	site	species	t.alb	a.gra	t.mel	p.bou	p.min	m.flo	o.hae	p.oce	t.bic	o.gla	c.mac	rota6	saipan7	guam1	other
saipan	ladt	guamia	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
saipan	ladt	neiso	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
saipan	ladt	prem	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
saipan	ladt	ochr	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
saipan	ladt	ochr	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
saipan	ladt	aglaia	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1
saipan	ladt	prem	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
saipan	ladt	cyno	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
saipan	ladt	cyno	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
saipan	ladt	neiso	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1
saipan	ladt	ochr	0	0	0	2	0	0	0	1	0	0	0	0	1	0	2
saipan	ladt	psych	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	ladt	prem	0	2	0	1	0	0	0	2	0	0	0	0	0	0	2
saipan	ladt	leuc	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
saipan	ladt	psych	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
saipan	ladt	aglaia	0	5	0	0	0	0	0	2	0	0	0	0	0	0	2
saipan	mtr1	aglaia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	aglaia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	guamia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	psych	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	mor	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	cyno	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	eug	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	ochr	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	ochr	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	prem	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	leuc	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	neiso	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	mor	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	psych	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	neiso	0	2	0	1	0	0	0	0	0	0	0	0	3	0	3
saipan	mtr1	guamia	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	cyno	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
saipan	mtr1	mor	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
