Index,Population,Garden,Genotype,Cumulative_Mass,Bag_Mass,Inside_Bag_Mass,Inside_Bag_Only_Mass,Year,Row,Column
SC27,Santa_Cruz,SCI,10,14.363,7.273,0,0,2017,NA,NA
16,Santa_Cruz,SBBG,401,297.27,58.64,38.61,7.25,2016,1,16
42,Santa_Cruz,SBBG,401,259.28,59.03,48.89,7.13,2016,3,8
46,Santa_Cruz,SBBG,401,264.51,61.22,28.75,7.51,2016,3,13
16,Santa_Cruz,SBBG,401,120.214,56.673,0,0,2017,1,16
42,Santa_Cruz,SBBG,401,106.219,58.052,0,0,2017,3,8
46,Santa_Cruz,SBBG,401,120.232,57.582,0,0,2017,3,13
SC11,Santa_Cruz,SCI,401,NA,NA,0,0,2017,NA,NA
SC35,Santa_Cruz,SCI,401,15.875,7.194,0,0,2017,NA,NA
SC37,Santa_Cruz,SCI,401,17.041,7.327,0,0,2017,NA,NA
50,Santa_Cruz,SBBG,402,102.93,59.68,12.02,7.41,2016,4,1
64,Santa_Cruz,SBBG,402,129.39,59.42,18.17,7.27,2016,4,15
82,Santa_Cruz,SBBG,402,167,57.88,20.67,7.21,2016,5,17
109,Santa_Cruz,SBBG,402,178.78,59.19,43.31,7.38,2016,7,12
64,Santa_Cruz,SBBG,402,106.879,57.166,0,0,2017,4,15
82,Santa_Cruz,SBBG,402,85.488,58.396,0,0,2017,5,17
SC4,Santa_Cruz,SCI,402,11.402,7.228,0,0,2017,NA,NA
SC20,Santa_Cruz,SCI,402,10.712,7.315,0,0,2017,NA,NA
SC34,Santa_Cruz,SCI,402,75.116,56.923,0,0,2017,NA,NA
SC31,Santa_Cruz,SCI,403,14.096,7.211,0,0,2017,NA,NA
SC33,Santa_Cruz,SCI,403,77.308,57.405,0,0,2017,NA,NA
2,Santa_Cruz,SBBG,404,33.17,9.08,0,0,2016,1,2
85,Santa_Cruz,SBBG,404,132.62,59.71,7.79,7.49,2016,6,3
85,Santa_Cruz,SBBG,404,15.931,6.858,0,0,2017,6,3
SC1,Santa_Cruz,SCI,404,85.843,57.472,0,0,2017,NA,NA
SC12,Santa_Cruz,SCI,404,NA,NA,0,0,2017,NA,NA
SC17,Santa_Cruz,SCI,404,9.966,6.985,0,0,2017,NA,NA
