SampleID,Source,Site,Species,PlantID,Age,Tissue_Mass,Dilution1,Dilution2,Absorbance,Sample Concentration,Tissue Concentration,Notes
182,RSA,Catalina,Prunus,19685-C1,old,39.8,30,10,0.208,0.273189327,2.059216029,
183,SBBG,Santa Barbara,Heteromeles,SBBG-HET3,old,42.2,30,10,0.106,0.088037756,0.625860827,
184,SBBG,Santa Barbara,Heteromeles,SBBG-HET3,young,49.4,30,10,0.192,0.244145943,1.48266767,
185,RSA,Catalina,Prunus,19685-C4,old,46,30,10,0.124,0.120711563,0.787249323,
186,RSA,Catalina,Prunus,19685-D,young,50.8,30,10,0.19,0.24051552,1.420367244,
187,RSA,Catalina,Prunus,19685-D,old,41.4,30,10,0.198,0.255037212,1.848095738,
188,RSA,San Bernardino,Prunus,21471-A4,old,53,30,10,0.328,0.491014703,2.779328509,
189,RSA,Catalina,Heteromeles,6142-B6,old,68.5,30,10,0.132,0.135233255,0.592262429,
190,SBBG,Santa Barbara,Heteromeles,SBBG-HET2,old,63.2,30,10,0.135,0.140678889,0.667779537,
191,SBBG,Santa Barbara,Heteromeles,SBBG-HET2,young,49.9,30,10,0.198,0.255037212,1.533289851,
192,RSA,San Dimas,Prunus,24404-B1,old,35,30,10,0.198,0.255037212,2.186033244,
193,RSA,Catalina,Heteromeles,6142-D2,old,52.2,30,10,0.121,0.115265928,0.662447865,
194,RSA,Catalina,Heteromeles,6142-D2,young,50.6,30,10,0.148,0.164276638,0.973972163,
195,RSA,Catalina,Heteromeles,6142-B3,old,60.8,30,10,0.205,0.267743692,1.321103744,
196,RSA,Rancho,Heteromeles,20475-C1,old,67.8,30,10,0.173,0.209656925,0.927685509,
197,RSA,San Bernardino,Prunus,21471-B3,old,36.6,30,10,0.205,0.267743692,2.194620427,
198,RSA,San Dimas,Prunus,24404-D3,old,27.9,30,10,0.151,0.169722273,1.824970674,
199,RSA,Catalina,Heteromeles,6142-C2,old,49.3,30,10,0.08,0.040842258,0.248533011,
200,RSA,Rancho,Heteromeles,20475-B5,old,59.4,30,10,0.122,0.11708114,0.591318889,
201,RSA,Rancho,Heteromeles,20475-B5,young,43.7,30,10,0.157,0.180613541,1.239909896,
202,SBBG,Santa Barbara,Heteromeles,SBBG-HET2,old,43.5,30,10,0.078,0.037211835,0.256633346,
203,Gaviota,Gaviota,Cercocarpus,51,young,195.5,30,1,0.162,0.189689599,0.029108378,
204,Gaviota,Gaviota,Cercocarpus,51,old,221,30,1,0.163,0.19150481,0.025996128,
205,Catalina,Catalina,Cercocarpus,35,old,335.2,30,1,0.097,0.071700853,0.006417141,
206,Catalina,Catalina,Cercocarpus,35,young,172.7,30,1,0.156,0.17879833,0.031059351,
207,Gaviota,Gaviota,Cercocarpus,46,old,250.2,30,1,0.202,0.262298058,0.031450606,
208,Gaviota,Gaviota,Cercocarpus,46,young,152.7,30,1,0.157,0.180613541,0.035483996,
209,Santa Cruz,Santa Cruz,Cercocarpus,16,old,184.6,30,1,0.072,0.026320566,0.004277448,
210,Santa Cruz,Santa Cruz,Cercocarpus,16,young,143.9,30,1,0.07,0.022690143,0.004730398,
211,Santa Cruz,Santa Cruz,Cercocarpus,19,old,263.9,30,1,0.085,0.049918315,0.005674685,
212,Santa Cruz,Santa Cruz,Cercocarpus,19,young,202.1,30,1,0.092,0.062624796,0.00929611,
213,Gaviota,Gaviota,Cercocarpus,49,old,254.9,30,1,0.143,0.155200581,0.018266055,
214,Gaviota,Gaviota,Cercocarpus,49,young,190.2,30,1,0.175,0.213287348,0.033641538,
215,Catalina,Catalina,Cercocarpus,40,young,190.3,30,1,0.121,0.115265928,0.018171192,
216,Santa Rosa,Santa Rosa,Prunus,11,old,93.1,30,10,0.092,0.062624796,0.201798483,
217,Catalina,Catalina,Cercocarpus,40,old,164.8,30,1,0.108,0.091668179,0.016687169,
218,Santa Monicas,Santa Monicas,Cercocarpus,28,young,187.3,30,1,0.058,0.000907606,0.000145372,
219,Santa Monicas,Santa Monicas,Cercocarpus,28,old,190.9,30,1,0.063,0.009983663,0.001568936,
220,Stunt Ranch,Stunt Ranch,Cercocarpus,7,young,240.5,30,1,0.058,0.000907606,0.000113215,
221,Stunt Ranch,Stunt Ranch,Cercocarpus,7,old,154.1,30,1,0.074,0.029950989,0.005830822,
222,Santa Cruz,Santa Cruz,Cercocarpus,12,young,205.1,30,1,0.069,0.020874932,0.003053379,
223,Santa Cruz,Santa Cruz,Cercocarpus,12,old,280.7,30,1,0.08,0.040842258,0.004365044,
224,Stunt Ranch,Stunt Ranch,Cercocarpus,8,old,265.3,30,1,0.058,0.000907606,0.000102632,
225,Stunt Ranch,Stunt Ranch,Cercocarpus,8,young,158.7,30,1,0.064,0.011798875,0.002230411,
226,Santa Cruz,Santa Cruz,Cercocarpus,17,old,218.3,30,1,0.089,0.057179161,0.007857878,
227,Santa Cruz,Santa Cruz,Cercocarpus,17,young,228,30,1,0.104,0.084407333,0.011106228,
