Species,Number,Position,Mass
Heteromeles,24,Lower,1.7021
Heteromeles,24,Upper,2.3494
Heteromeles,25,Upper,3.3171
Heteromeles,28,Lower,2.2360
Heteromeles,28,Upper,3.2457
Heteromeles,29,Lower,2.2096
Heteromeles,29,Upper,3.1031
Heteromeles,30,Lower,1.9787
Heteromeles,30,Upper,3.4045
Heteromeles,31,Lower,2.4919
Heteromeles,31,Upper,4.0642
Heteromeles,32,Lower,1.4514
Heteromeles,32,Upper,1.9459
Heteromeles,33,Lower,1.9536
Heteromeles,33,Upper,4.0346
Heteromeles,34,Lower,3.5296
Heteromeles,34,Upper,3.9055
Heteromeles,35,Lower,0.7699
Heteromeles,35,Upper,1.3369
Heteromeles,36,Lower,1.9982
Heteromeles,36,Upper,1.3489
Heteromeles,37,Lower,1.1628
Heteromeles,37,Upper,2.2111
Heteromeles,38,Lower,2.4345
Heteromeles,38,Upper,1.3298
Heteromeles,39,Lower,1.8019
Heteromeles,39,Upper,2.9445
Heteromeles,40,Lower,1.8206
Heteromeles,40,Upper,1.2631
Heteromeles,41,Lower,1.5293
Heteromeles,41,Upper,1.5871
Heteromeles,42,Lower,2.3612
Heteromeles,43,Lower,2.5536
Heteromeles,44,Lower,1.6370
Heteromeles,44,Upper,2.1625
Heteromeles,45,Lower,4.5199
Heteromeles,45,Upper,2.9065
Heteromeles,46,Lower,1.0326
Heteromeles,46,Upper,3.0680
Heteromeles,47,Lower,4.1438
Heteromeles,47,Upper,1.7957
Heteromeles,48,Lower,1.4664
Heteromeles,48,Upper,2.4546
Heteromeles,49,Upper,2.2596
Heteromeles,50,Lower,3.0900
Heteromeles,50,Upper,2.6689
Heteromeles,51,Lower,2.7190
Heteromeles,51,Upper,3.8795
Heteromeles,52,Lower,3.0684
Heteromeles,52,Upper,3.9824
Heteromeles,53,Lower,2.5266
Heteromeles,53,Upper,2.9829
Heteromeles,54,Lower,1.0675
Heteromeles,54,Upper,0.9407
Heteromeles,55,Lower,1.7696
Heteromeles,55,Upper,2.3817
Heteromeles,56,Lower,2.0125
Heteromeles,56,Upper,2.2939
Heteromeles,57,Lower,1.5361
Heteromeles,57,Upper,2.3478
Heteromeles,58,Lower,0.8994
Heteromeles,58,Upper,2.2109
Heteromeles,59,Lower,2.5027
Heteromeles,59,Upper,1.9248
Heteromeles,60,Lower,2.6155
Heteromeles,60,Upper,3.3802
Heteromeles,61,Lower,1.3413
Heteromeles,61,Upper,2.2336
Heteromeles,62,Lower,2.1035
Heteromeles,62,Upper,3.7051
Heteromeles,63,Lower,1.8444
Heteromeles,64,Lower,2.6606
Heteromeles,64,Upper,2.6265
Heteromeles,65,Lower,2.2079
Heteromeles,65,Upper,2.4824
Heteromeles,66,Lower,1.1052
Heteromeles,66,Upper,2.2090
Heteromeles,SBBG,Lower,2.1464
Heteromeles,SBBG,Upper,2.8322
Prunus,1,Lower,0.9969
Prunus,1,Upper,1.1371
Prunus,2,Lower,0.4845
Prunus,2,Upper,1.5611
Prunus,3,Lower,0.6187
Prunus,3,Upper,2.0746
Prunus,4,Lower,0.4107
Prunus,4,Upper,1.6757
Prunus,5,Lower,1.0218
Prunus,6,Lower,0.4931
Prunus,6,Upper,1.1056
Prunus,7,Lower,0.7218
Prunus,7,Upper,1.2631
Prunus,8,Lower,0.5993
Prunus,9,Lower,0.5721
Prunus,9,Upper,0.6374
Prunus,11,Lower,1.7243
Prunus,11,Upper,4.1883
Prunus,12,Lower,1.9362
Prunus,12,Upper,0.6644
Prunus,13,Lower,0.5568
Prunus,13,Upper,1.6620
Prunus,14,Lower,0.8364
Prunus,14,Upper,0.7131
Prunus,15,Lower,0.7849
Prunus,15,Upper,0.5791
Prunus,16,Lower,1.4914
Prunus,16,Upper,1.2139
Prunus,17,Lower,1.2182
Prunus,17,Upper,1.8043
Prunus,18,Lower,0.7481
Prunus,18,Upper,1.9921
Prunus,19,Lower,2.9518
Prunus,19,Upper,3.2802
Prunus,20,Lower,2.5325
Prunus,21,Lower,1.4314
Prunus,22,Lower,1.3176
Prunus,22,Upper,1.3601
Prunus,23,Lower,2.1611
Prunus,23,Upper,2.3061
Prunus,24,Lower,2.0179
Prunus,24,Upper,3.4033
Prunus,25,Lower,1.9326
Prunus,25,Upper,0.9242
Prunus,26,Lower,2.5669
Prunus,26,Upper,3.7428
Prunus,27,Lower,1.0960
Prunus,27,Upper,1.6086
Prunus,27,Upper,1.6609
Prunus,28,Lower,1.8156
Prunus,29,Lower,0.9659
Prunus,30,Lower,1.4175
Prunus,30,Upper,2.1197
Prunus,31,Lower,1.1954
Prunus,31,Upper,1.1876
Prunus,32,Lower,1.8487
Prunus,32,Upper,1.4625
Prunus,33,Lower,2.2273
Prunus,33,Upper,3.3439
Prunus,34,Lower,2.5705
Prunus,34,Upper,1.2070
Prunus,35,Lower,3.0592
Prunus,35,Upper,1.5394
Prunus,38,Lower,0.5543
Prunus,38,Upper,0.6080
Prunus,39,Lower,0.4373
Prunus,40,Lower,0.4590
Prunus,40,Upper,0.6777
Prunus,41,Lower,0.5977
Prunus,41,Upper,1.1835
Prunus,42,Lower,0.3983
Prunus,42,Upper,0.7946
Prunus,43,Lower,0.6365
Prunus,43,Upper,0.8139
Prunus,44,Lower,1.0457
Prunus,45,Lower,0.9508
Prunus,45,Upper,1.4628
Prunus,46,Lower,0.4065
Prunus,47,Lower,0.7635
Prunus,48,Lower,0.9339
Prunus,48,Upper,0.6011
Prunus,49,Lower,0.4657
Prunus,49,Upper,0.8491
Prunus,50,Lower,0.7053
Prunus,50,Upper,1.9413
Prunus,51,Lower,1.3956
Prunus,51,Upper,1.9252
Prunus,52,Lower,1.3086
Prunus,52,Upper,1.9474
Prunus,53,Lower,2.0497
Prunus,53,Upper,2.1458
Prunus,54,Lower,0.4294
Prunus,54,Upper,2.4893
Prunus,55,Lower,1.6869
Prunus,55,Upper,2.7953
Prunus,56,Lower,1.7193
Prunus,57,Lower,1.4795
Prunus,57,Upper,3.9537
Prunus,58,Lower,0.9339
Prunus,58,Upper,2.4378
Prunus,59,Lower,1.3675
Prunus,59,Upper,2.6826
Prunus,60,Lower,0.7733
Prunus,61,Lower,1.2451
Prunus,61,Upper,2.1995
Prunus,62,Lower,1.5107
Prunus,62,Upper,1.2619
Prunus,63,Lower,1.2690
Prunus,63,Upper,1.0635
Prunus,65,Lower,1.5701
Prunus,65,Upper,1.3579
Prunus,66,Lower,1.2825
Prunus,66,Upper,1.7545
Prunus,67,Lower,1.1089
Prunus,67,Upper,0.9816
Prunus,69,Lower,0.7860
Prunus,69,Upper,1.5277
Prunus,SBBG,Lower,2.4222
Prunus,SBBG,Upper,2.6913
